case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,6;7;8,6:C5:C;7:N2:N;8:C6:C,C-N-C,3
2,case_000002.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,7;8;9,7:N2:N;8:C6:C;9:C7:C,N-C-C,4
3,case_000003.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,7;8;15,7:N2:N;8:C6:C;15:C10:C,N-C-C,4
4,case_000004.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,8;9;12,8:C6:C;9:C7:C;12:N3:N,C-C-N,4
5,case_000005.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,8;14;15,8:C6:C;14:N4:N;15:C10:C,C-N-C,5
6,case_000006.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,9;10;11,9:C7:C;10:C8:C;11:O1:O,C-C-O,3
7,case_000007.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,9;10;12,9:C7:C;10:C8:C;12:N3:N,C-C-N,3
8,case_000008.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,9;12;13,9:C7:C;12:N3:N;13:C9:C,C-N-C,4
9,case_000009.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,9;12;14,9:C7:C;12:N3:N;14:N4:N,C-N-N,4
10,case_000010.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,12;13;14,12:N3:N;13:C9:C;14:N4:N,N-C-N,5
11,case_000011.pdb,0;1;3,0:C1:C;1:C2:C;3:S1:S,C-C-S,12;14;15,12:N3:N;14:N4:N;15:C10:C,N-N-C,5
12,case_000012.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,6;7;8,6:C5:C;7:N2:N;8:C6:C,C-N-C,3
13,case_000013.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,7;8;9,7:N2:N;8:C6:C;9:C7:C,N-C-C,4
14,case_000014.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,7;8;15,7:N2:N;8:C6:C;15:C10:C,N-C-C,4
15,case_000015.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,8;9;12,8:C6:C;9:C7:C;12:N3:N,C-C-N,4
16,case_000016.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,8;14;15,8:C6:C;14:N4:N;15:C10:C,C-N-C,5
17,case_000017.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,9;10;11,9:C7:C;10:C8:C;11:O1:O,C-C-O,3
18,case_000018.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,9;10;12,9:C7:C;10:C8:C;12:N3:N,C-C-N,3
19,case_000019.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,9;12;13,9:C7:C;12:N3:N;13:C9:C,C-N-C,4
20,case_000020.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,9;12;14,9:C7:C;12:N3:N;14:N4:N,C-N-N,4
21,case_000021.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,12;13;14,12:N3:N;13:C9:C;14:N4:N,N-C-N,5
22,case_000022.pdb,1;2;3,1:C2:C;2:C3:C;3:S1:S,C-C-S,12;14;15,12:N3:N;14:N4:N;15:C10:C,N-N-C,5
23,case_000023.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,7;8;9,7:N2:N;8:C6:C;9:C7:C,N-C-C,3
24,case_000024.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,7;8;15,7:N2:N;8:C6:C;15:C10:C,N-C-C,3
25,case_000025.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,8;9;12,8:C6:C;9:C7:C;12:N3:N,C-C-N,3
26,case_000026.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,8;14;15,8:C6:C;14:N4:N;15:C10:C,C-N-C,4
27,case_000027.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,9;12;13,9:C7:C;12:N3:N;13:C9:C,C-N-C,3
28,case_000028.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,9;12;14,9:C7:C;12:N3:N;14:N4:N,C-N-N,3
29,case_000029.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,12;13;14,12:N3:N;13:C9:C;14:N4:N,N-C-N,4
30,case_000030.pdb,1;3;4,1:C2:C;3:S1:S;4:C4:C,C-S-C,12;14;15,12:N3:N;14:N4:N;15:C10:C,N-N-C,4
31,case_000031.pdb,3;4;5,3:S1:S;4:C4:C;5:N1:N,S-C-N,8;14;15,8:C6:C;14:N4:N;15:C10:C,C-N-C,3
32,case_000032.pdb,3;4;5,3:S1:S;4:C4:C;5:N1:N,S-C-N,12;13;14,12:N3:N;13:C9:C;14:N4:N,N-C-N,3
